Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.78,0.5,0.28,0.78,0.5319148936170213,0.0,0.0037896456351721023,0.014405660749322107,0.026555208369481543,-0.21999999999999997
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.48,0.36,0.12,0.48,0.3673469387755102,0.0,0.0034431026249835293,0.021278454445582594,0.05883545414015069,-0.09999999999999998
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.46,0.58,-0.11999999999999994,0.46,0.58,0.0,0.0012007917476061496,0.03173076072138454,0.02200498265493621,0.11999999999999994
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.42,0.42,0.0,0.42,0.4375,0.0,0.0038349310115710117,0.03772722932798488,0.04255764648195417,0.040000000000000036
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.6,0.42,0.18,0.6,0.42857142857142855,0.0,0.0023202754406227975,0.024776074162052738,0.03495985085549953,-0.15999999999999998
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.48,0.5,-0.020000000000000018,0.48,0.5102040816326531,0.0,0.0028279342172577793,0.04569514754387621,0.03614477971711088,0.040000000000000036
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,0.36,0.36,0.0,0.36,0.36,0.0,0.0034022322213903495,0.04222324384049733,0.03909468488849069,0.0
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,0.34,0.3,0.040000000000000036,0.34,0.3,0.0,0.002523149288423404,0.045976132370885964,0.05962025721790499,-0.040000000000000036
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.1,0.24,-0.13999999999999999,0.1,0.25,0.0,0.0037516033247105857,0.06227592868806287,0.06637899811992042,0.18000000000000002
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.56,0.36,0.20000000000000007,0.56,0.3673469387755102,0.0,0.004543817784054013,0.028265812430524,0.049461378544760265,-0.18000000000000005
