Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,PrivacyGain
I,ID234,X1,0,Cvine,1.0,0.0,1.0,0.4,0.45,-0.04999999999999999,0.4,,1.05
I,ID234,X1,0,Rvine,1.0,0.0,1.0,0.25,0.15,0.1,0.25,,0.9
I,ID234,X1,0,Rvine star 1,1.0,0.0,1.0,0.4,0.6,-0.19999999999999996,0.4,,1.2
I,ID234,X1,1,Cvine,1.0,0.6,0.4,0.6,0.4,0.19999999999999996,0.6,0.6666666666666667,0.20000000000000007
I,ID234,X1,1,Rvine,1.0,0.6,0.4,0.35,0.3,0.04999999999999999,0.35,0.5,0.35000000000000003
I,ID234,X1,1,Rvine star 1,1.0,0.6,0.4,0.25,0.45,-0.2,0.25,0.75,0.6000000000000001
I,ID234,X1,2,Cvine,1.0,0.0,1.0,0.7,0.45,0.24999999999999994,0.7,,0.75
I,ID234,X1,2,Rvine,1.0,0.0,1.0,0.5,0.55,-0.050000000000000044,0.5,,1.05
I,ID234,X1,2,Rvine star 1,1.0,0.0,1.0,0.5,0.35,0.15000000000000002,0.5,,0.85
I,ID234,X1,3,Cvine,1.0,0.45,0.55,0.45,0.45,0.0,0.45,1.0,0.55
I,ID234,X1,3,Rvine,1.0,0.45,0.55,0.45,0.4,0.04999999999999999,0.45,0.888888888888889,0.5
I,ID234,X1,3,Rvine star 1,1.0,0.45,0.55,0.5,0.5,0.0,0.5,1.1111111111111112,0.55
I,ID234,X1,4,Cvine,1.0,0.1,0.9,0.2,0.6,-0.39999999999999997,0.2,5.999999999999999,1.3
I,ID234,X1,4,Rvine,1.0,0.1,0.9,0.55,0.6,-0.04999999999999993,0.55,5.999999999999999,0.95
I,ID234,X1,4,Rvine star 1,1.0,0.1,0.9,0.6,0.55,0.04999999999999993,0.6,5.5,0.8500000000000001
I,ID234,X1,5,Cvine,1.0,0.15,0.85,0.55,0.5,0.050000000000000044,0.55,3.3333333333333335,0.7999999999999999
I,ID234,X1,5,Rvine,1.0,0.15,0.85,0.5,0.35,0.15000000000000002,0.5,2.3333333333333335,0.7
I,ID234,X1,5,Rvine star 1,1.0,0.15,0.85,0.45,0.6,-0.14999999999999997,0.45,4.0,1.0
I,ID234,X1,6,Cvine,1.0,0.45,0.55,0.35,0.4,-0.050000000000000044,0.35,0.888888888888889,0.6000000000000001
I,ID234,X1,6,Rvine,1.0,0.45,0.55,0.45,0.2,0.25,0.45,0.4444444444444445,0.30000000000000004
I,ID234,X1,6,Rvine star 1,1.0,0.45,0.55,0.7,0.55,0.1499999999999999,0.7,1.2222222222222223,0.40000000000000013
I,ID234,X1,7,Cvine,1.0,0.1,0.9,0.5,0.5,0.0,0.5,5.0,0.9
I,ID234,X1,7,Rvine,1.0,0.1,0.9,0.55,0.3,0.25000000000000006,0.55,2.9999999999999996,0.6499999999999999
I,ID234,X1,7,Rvine star 1,1.0,0.1,0.9,0.65,0.45,0.2,0.65,4.5,0.7
I,ID234,X1,8,Cvine,1.0,0.0,1.0,0.5,0.65,-0.15000000000000002,0.5,,1.15
I,ID234,X1,8,Rvine,1.0,0.0,1.0,0.15,0.35,-0.19999999999999998,0.15,,1.2
I,ID234,X1,8,Rvine star 1,1.0,0.0,1.0,0.35,0.3,0.04999999999999999,0.35,,0.95
I,ID234,X1,9,Cvine,1.0,0.55,0.44999999999999996,0.5,0.4,0.09999999999999998,0.5,0.7272727272727273,0.35
I,ID234,X1,9,Rvine,1.0,0.55,0.44999999999999996,0.55,0.35,0.20000000000000007,0.55,0.6363636363636362,0.2499999999999999
I,ID234,X1,9,Rvine star 1,1.0,0.55,0.44999999999999996,0.3,0.5,-0.2,0.3,0.9090909090909091,0.6499999999999999
I,ID42,X1,0,Cvine,1.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.35
I,ID42,X1,0,Rvine,1.0,0.65,0.35,0.35,0.3,0.04999999999999999,0.35,0.4615384615384615,0.3
I,ID42,X1,0,Rvine star 1,1.0,0.65,0.35,0.05,0.0,0.05,0.05,0.0,0.3
I,ID42,X1,1,Cvine,1.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0,0.95
I,ID42,X1,1,Rvine,1.0,0.05,0.95,0.2,0.05,0.15000000000000002,0.2,1.0,0.7999999999999999
I,ID42,X1,1,Rvine star 1,1.0,0.05,0.95,0.1,0.05,0.05,0.1,1.0,0.8999999999999999
I,ID42,X1,2,Cvine,1.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.35
I,ID42,X1,2,Rvine,1.0,0.65,0.35,0.05,0.1,-0.05,0.05,0.15384615384615385,0.39999999999999997
I,ID42,X1,2,Rvine star 1,1.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.35
I,ID42,X1,3,Cvine,1.0,0.1,0.9,0.05,0.0,0.05,0.05,0.0,0.85
I,ID42,X1,3,Rvine,1.0,0.1,0.9,0.1,0.0,0.1,0.1,0.0,0.8
I,ID42,X1,3,Rvine star 1,1.0,0.1,0.9,0.0,0.05,-0.05,0.0,0.5,0.9500000000000001
I,ID42,X1,4,Cvine,1.0,0.35,0.65,0.05,0.05,0.0,0.05,0.14285714285714288,0.65
I,ID42,X1,4,Rvine,1.0,0.35,0.65,0.05,0.1,-0.05,0.05,0.28571428571428575,0.7000000000000001
I,ID42,X1,4,Rvine star 1,1.0,0.35,0.65,0.15,0.05,0.09999999999999999,0.15,0.14285714285714288,0.55
I,ID42,X1,5,Cvine,1.0,0.3,0.7,0.05,0.0,0.05,0.05,0.0,0.6499999999999999
I,ID42,X1,5,Rvine,1.0,0.3,0.7,0.05,0.1,-0.05,0.05,0.33333333333333337,0.75
I,ID42,X1,5,Rvine star 1,1.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7
I,ID42,X1,6,Cvine,1.0,0.15,0.85,0.05,0.05,0.0,0.05,0.33333333333333337,0.85
I,ID42,X1,6,Rvine,1.0,0.15,0.85,0.15,0.05,0.09999999999999999,0.15,0.33333333333333337,0.75
I,ID42,X1,6,Rvine star 1,1.0,0.15,0.85,0.0,0.0,0.0,0.0,0.0,0.85
I,ID42,X1,7,Cvine,1.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0,0.35
I,ID42,X1,7,Rvine,1.0,0.65,0.35,0.05,0.0,0.05,0.05,0.0,0.3
I,ID42,X1,7,Rvine star 1,1.0,0.65,0.35,0.0,0.1,-0.1,0.0,0.15384615384615385,0.44999999999999996
I,ID42,X1,8,Cvine,1.0,0.5,0.5,0.1,0.0,0.1,0.1,0.0,0.4
I,ID42,X1,8,Rvine,1.0,0.5,0.5,0.15,0.25,-0.1,0.15,0.5,0.6
I,ID42,X1,8,Rvine star 1,1.0,0.5,0.5,0.15,0.05,0.09999999999999999,0.15,0.1,0.4
I,ID42,X1,9,Cvine,1.0,0.1,0.9,0.05,0.1,-0.05,0.05,1.0,0.9500000000000001
I,ID42,X1,9,Rvine,1.0,0.1,0.9,0.15,0.25,-0.1,0.15,2.5,1.0
I,ID42,X1,9,Rvine star 1,1.0,0.1,0.9,0.0,0.1,-0.1,0.0,1.0,1.0
I,ID60,X1,0,Cvine,1.0,0.0,1.0,0.15,0.2,-0.05000000000000002,0.15,,1.05
I,ID60,X1,0,Rvine,1.0,0.0,1.0,0.05,0.15,-0.09999999999999999,0.05,,1.1
I,ID60,X1,0,Rvine star 1,1.0,0.0,1.0,0.2,0.05,0.15000000000000002,0.2,,0.85
I,ID60,X1,1,Cvine,1.0,0.5,0.5,0.1,0.2,-0.1,0.1,0.4,0.6
I,ID60,X1,1,Rvine,1.0,0.5,0.5,0.2,0.3,-0.09999999999999998,0.2,0.6,0.6
I,ID60,X1,1,Rvine star 1,1.0,0.5,0.5,0.2,0.05,0.15000000000000002,0.2,0.1,0.35
I,ID60,X1,2,Cvine,1.0,0.0,1.0,0.15,0.05,0.09999999999999999,0.15,,0.9
I,ID60,X1,2,Rvine,1.0,0.0,1.0,0.3,0.3,0.0,0.3,,1.0
I,ID60,X1,2,Rvine star 1,1.0,0.0,1.0,0.35,0.2,0.14999999999999997,0.35,,0.8500000000000001
I,ID60,X1,3,Cvine,1.0,0.5,0.5,0.15,0.1,0.04999999999999999,0.15,0.2,0.45
I,ID60,X1,3,Rvine,1.0,0.5,0.5,0.35,0.2,0.14999999999999997,0.35,0.4,0.35000000000000003
I,ID60,X1,3,Rvine star 1,1.0,0.5,0.5,0.2,0.25,-0.04999999999999999,0.2,0.5,0.55
I,ID60,X1,4,Cvine,1.0,0.1,0.9,0.15,0.05,0.09999999999999999,0.15,0.5,0.8
I,ID60,X1,4,Rvine,1.0,0.1,0.9,0.05,0.45,-0.4,0.05,4.5,1.3
I,ID60,X1,4,Rvine star 1,1.0,0.1,0.9,0.2,0.1,0.1,0.2,1.0,0.8
I,ID60,X1,5,Cvine,1.0,0.1,0.9,0.15,0.1,0.04999999999999999,0.15,1.0,0.8500000000000001
I,ID60,X1,5,Rvine,1.0,0.1,0.9,0.2,0.2,0.0,0.2,2.0,0.9
I,ID60,X1,5,Rvine star 1,1.0,0.1,0.9,0.15,0.1,0.04999999999999999,0.15,1.0,0.8500000000000001
I,ID60,X1,6,Cvine,1.0,0.4,0.6,0.2,0.05,0.15000000000000002,0.2,0.125,0.44999999999999996
I,ID60,X1,6,Rvine,1.0,0.4,0.6,0.2,0.1,0.1,0.2,0.25,0.5
I,ID60,X1,6,Rvine star 1,1.0,0.4,0.6,0.05,0.35,-0.3,0.05,0.8749999999999999,0.8999999999999999
I,ID60,X1,7,Cvine,1.0,0.05,0.95,0.25,0.1,0.15,0.25,2.0,0.7999999999999999
I,ID60,X1,7,Rvine,1.0,0.05,0.95,0.15,0.15,0.0,0.15,2.9999999999999996,0.95
I,ID60,X1,7,Rvine star 1,1.0,0.05,0.95,0.15,0.25,-0.1,0.15,5.0,1.05
I,ID60,X1,8,Cvine,1.0,0.0,1.0,0.1,0.35,-0.24999999999999997,0.1,,1.25
I,ID60,X1,8,Rvine,1.0,0.0,1.0,0.4,0.3,0.10000000000000003,0.4,,0.8999999999999999
I,ID60,X1,8,Rvine star 1,1.0,0.0,1.0,0.05,0.05,0.0,0.05,,1.0
I,ID60,X1,9,Cvine,1.0,0.4,0.6,0.1,0.3,-0.19999999999999998,0.1,0.7499999999999999,0.7999999999999999
I,ID60,X1,9,Rvine,1.0,0.4,0.6,0.45,0.2,0.25,0.45,0.5,0.35
I,ID60,X1,9,Rvine star 1,1.0,0.4,0.6,0.25,0.15,0.1,0.25,0.37499999999999994,0.5
I,ID881,X1,0,Cvine,1.0,0.55,0.44999999999999996,0.65,0.55,0.09999999999999998,0.65,1.0,0.35
I,ID881,X1,0,Rvine,1.0,0.55,0.44999999999999996,0.6,0.6,0.0,0.6,1.0909090909090908,0.44999999999999996
I,ID881,X1,0,Rvine star 1,1.0,0.55,0.44999999999999996,0.5,0.75,-0.25,0.5,1.3636363636363635,0.7
I,ID881,X1,1,Cvine,1.0,0.45,0.55,0.55,0.45,0.10000000000000003,0.55,1.0,0.45
